semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,teacher,sch_type
1091,D1680,企管五甲,財務規劃與預測,(7416),必,2,4,星期一,3,3,王朝仕,1
1091,D1689,企管五乙,企業管理綜合個案研究 (學年),(7606),必,5,7,星期一,3,3,賴明弘,1
1091,D1686,企管五乙,物流管理,(7418),必,2,4,星期一,3,3,陳薇如,1
1091,D1760,國貿五甲,商用英文習作 (學年),(3805),必,3,4,星期一,2,1,林慧洙,1
1091,D1758,國貿五甲,國際行銷概論,(3805),必,6,8,星期一,3,3,黃彥智,1
1091,D1880,會資五甲,稅務法規與申報實務 (學年),(7402),必,2,4,星期一,3,3,蔡京姐,1
1091,D1881,會資五甲,審計學 (學年),(7401),必,7,8,星期一,4,4,溫宜潔,1
1091,D1896,會資五乙,審計學 (學年),(5207),必,1,2,星期一,4,4,盧丕喬,1
1091,D2087,日語五甲,日文商用文書寫作 (學年),(3608),必,5,6,星期一,2,2,平澤佳代,1
1091,D2076,日語五甲,日本企業組織與管理,(3608),必,7,8,星期一,2,2,張銘今,1
1091,D5880,保金五甲,年金與退休金規劃,(7301),必,5,7,星期一,3,3,陳冠志,1
1091,D2339,保金五甲,社會保險,(5310),必,2,4,星期一,3,3,謝淑慧,1
1091,D2358,保金五乙,社會保險,(5311),必,8,8,星期一,3,3,謝淑慧,1
1091,D2361,保金五乙,理財規劃,(5311),必,2,4,星期一,3,3,翁碧蓮,1
1091,D2362,保金五乙,意外保險,(5311),必,5,7,星期一,3,3,張瑞益,1
1091,D1543,護理四甲,社區衛生護理學,(T401),必,5,7,星期一,3,3,王淑諒,1
1091,D1563,護理四乙,精神科護理學,(T402),必,5,7,星期一,3,3,柯貞如,1
1091,D1660,企管四甲,貨幣銀行學 (學年),(5409),選,5,6,星期一,2,2,張瓊燕,1
1091,D1664,企管四甲,管理數學 (學年),(5409),必,7,8,星期一,2,2,陳柏儒,1
1091,D1674,企管四乙,統計學 (學年),(5410),必,2,4,星期一,3,3,簡郁紘,1
1091,D1672,企管四乙,貨幣銀行學 (學年),(5410),選,7,8,星期一,2,2,張瓊燕,1
1091,D1676,企管四乙,管理數學 (學年),(5410),必,5,6,星期一,2,2,陳柏儒,1
1091,D1738,國貿四甲,大學英文選 (學年),(3804),選,3,4,星期一,2,2,馬蕙萱,1
1091,D1737,國貿四甲,貨幣銀行學,(3804),必,5,7,星期一,3,3,鄭美幸,1
1091,D1852,會資四甲,成本與管理會計學 (學年),(5209),必,2,4,星期一,5,4,郭佳如,1
1091,D1854,會資四甲,會計資訊系統 (學年),(7303),必,5,7,星期一,3,2,盧正宗,1
1091,D1863,會資四乙,企業管理 (學年),(5210),必,2,4,星期一,3,3,林秀霞,1
1091,D1866,會資四乙,會計資訊系統 (學年),(7601),必,5,7,星期一,3,2,陳美嬪,1
1091,D1942,品設科菁英班四甲,感質設計,(4218),必,2,4,星期一,3,3,張國威,1
1091,D2003,資管四甲,雲端技術與應用,(2403),必,5,7,星期一,3,3,邱啟員,1
1091,D2008,資管四甲,管理數學 (學年),(6602),必,3,4,星期一,2,2,黃慧鳳,1
1091,D2065,日語四甲,日文閱讀指導 (學年),(3606),必,5,7,星期一,3,3,楊家源,1
1091,D2141,英語四甲,商用英語會話,(3513),必,1,2,星期一,2,2,盛凱翺,1
1091,D5838,英語四甲,商用英語會話,(3502),必,1,2,星期一,2,2,馬丁,1
1091,D2140,英語四甲,溝通心理學,(3513),選,3,4,星期一,2,2,劉朝清,1
1091,D2307,保金四甲,保險業經營管理 (另併１班),(5308),選,5,7,星期一,3,3,潘以諾,1
1091,D2311,保金四甲,風險管理概論,(5308),必,8,8,星期一,3,3,張瑞益,1
1091,D2312,保金四甲,財務報表分析,(7703),必,2,4,星期一,3,3,張巧宜,1
1091,D5879,保金四乙,財務管理,(5309),必,2,4,星期一,3,3,陳怡諠,1
1091,D1503,護理三甲,身體評估,(R206),必,5,6,星期一,2,2,劉倖吟,1
1091,D1682,企管五甲,企業管理綜合個案研究 (學年),(7605),必,2,4,星期二,3,3,李家瑩,1
1091,D1679,企管五甲,物流管理,(7803),必,5,7,星期二,3,3,趙正敏,1
1091,D1687,企管五乙,財務規劃與預測,(7418),必,2,4,星期二,3,3,王朝仕,1
1091,D1755,國貿五甲,國貿法規,(3805),必,7,8,星期二,2,2,郭鐘元,1
1091,D1756,國貿五甲,國際金融,(3805),必,2,4,星期二,3,3,李桂枝,1
1091,D1757,國貿五甲,國際貿易個案研究,(3805),必,5,6,星期二,2,1,郭鐘元,1
1091,D1888,會資五乙,財務報告分析 (另併１班),(5207),選,5,7,星期二,3,3,林世揚,1
1091,D1896,會資五乙,審計學 (學年),(5207),必,1,2,星期一,4,4,盧丕喬,1
1091,D1946,品設科菁英班五甲,包裝設計,(4408),選,7,8,星期二,2,2,侯純純,1
1091,D1952,品設科菁英班五甲,運動與健康 (學年),(0000),選,5,6,星期二,2,2,體育老師,1
1091,D2017,資管五甲,電子商務概論,(6602),必,5,7,星期二,3,3,蘇文凱,1
1091,D5279,日語五甲,日語發表演練 (學年),(3608),必,3,4,星期二,2,2,南雄太,1
