clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,stuCount,teacher
D7133,老服四１,進階醫護英文 (另併１班),１,選,1,2,星期一,2,2,35,徐自良胡靜文
D8510,英語四１,英文經貿溝通技巧 (另併１班),１,選,1,2,星期一,2,2,33,張文俐
D7123,老服三１,創新管理,１,必,1,2,星期一,2,2,42,陳文意
D7267,護理三１,兒科護理學及實驗,１,必,1,2,星期一,4,3,37,張玠
D8057,多媒三１,應用文與習作,１,必,1,2,星期一,2,2,55,許明珠
D8498,英語三１,應用文與習作,１,必,1,2,星期一,2,2,46,陳柏全
D11123,體育三１,運動與健康（一） - 排球理論與實務,１,選,1,2,星期一,2,2,20,林珀璇
D11194,體育三１,運動與健康（一） - 防身術,１,選,1,2,星期一,2,2,22,戴偉國
D11196,體育三１,運動與健康（一） - 飛鏢理論與實務,１,選,1,2,星期一,2,2,30,簡偉倫
D7243,護理二２,藥理學,１,必,1,2,星期一,2,2,34,楊宜真
D7258,護理二３,基本護理學及實驗（二）,１,必,1,4,星期一,6,3,33,孫嘉玲
D7471,保金二２,財務管理 (學年),１,必,1,2,星期一,2,2,43,陳怡諠
D8241,資工二２,資料結構,１,必,1,3,星期一,3,3,48,陳世穎
D11274,日語二１,日文習作（一）,１,必,1,2,星期一,2,2,25,呂思盈
D7094,老服一１,老人服務產業概論,１,必,1,2,星期一,2,2,50,梁亞文
D7420,保金一１,貨幣銀行學 (學年),１,選,1,2,星期一,2,2,43,卓翠月
D7555,財稅一２,國際禮儀 (另併１班),１,選,1,2,星期一,3,3,45,陳淑娟林冰如
D7650,財金一１,國文 (學年),１,必,1,2,星期一,2,2,47,廖芮茵
D7754,國貿一１,會計學 (學年),１,必,1,3,星期一,3,3,54,陳佳宜
D7769,國貿一２,經濟學 (學年),１,必,1,3,星期一,3,3,50,黃美卿
