semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,teacher,sch_type
1112,D2695,企管五甲,科技管理,(7416),必,5,7,星期一,3,3,趙正敏,1
1112,D2893,會資五甲,稅務法規與申報實務 (學年),(5208),必,2,4,星期一,3,3,劉政淮,1
1112,D3095,日語五甲,新聞日語 (學年),(3608),必,5,6,星期一,2,2,林敏容,1
1112,D3183,英語五甲,英語演講與溝通 (學年),(3401),必,5,6,星期一,2,2,羅偉安,1
1112,D3244,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,林文彥,1
1112,D8838,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,邱淑芬,1
1112,D8839,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,姜琇森,1
1112,D8840,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,柯志坤,1
1112,D8841,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,許雯絞,1
1112,D8842,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,黃天麒,1
1112,D8843,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,蕭國倫,1
1112,D3356,保金五甲,金融實務,(5309),必,2,4,星期一,3,3,張巧宜,1
1112,D3367,保金五乙,年金與退休金規劃,(7701),必,5,7,星期一,3,3,陳冠志,1
1112,D4893,保金五乙,國際金融與匯兌,(5311),必,2,4,星期一,3,3,吳明哲,1
1112,D3487,資工五甲,機率與統計,(2405),必,2,4,星期一,3,3,曾建維,1
1112,D4999,企管四甲,人際關係,(5409),必,2,4,星期一,3,3,龔慧珠,1
1112,D2675,企管四甲,貨幣銀行學 (學年),(5409),選,5,6,星期一,2,2,張瓊燕,1
1112,D2679,企管四甲,管理數學 (學年),(5409),必,7,8,星期一,2,2,盧慶樺,1
1112,D2686,企管四乙,貨幣銀行學 (學年),(5410),選,7,8,星期一,2,2,張瓊燕,1
1112,D2690,企管四乙,管理數學 (學年),(5410),必,5,6,星期一,2,2,盧慶樺,1
1112,D2755,國貿四甲,商業心理學,(3805),選,5,6,星期一,2,2,陳美如,1
1112,D2868,會資四甲,企業管理 (學年),(5209),必,2,4,星期一,3,3,林秀霞,1
1112,D2871,會資四甲,會計資訊系統 (學年),(7303),必,5,7,星期一,3,2,盧正宗,1
1112,D2881,會資四乙,成本與管理會計學 (學年),(5210),必,2,4,星期一,5,4,郭佳如,1
1112,D2883,會資四乙,會計資訊系統 (學年),(7601),必,5,7,星期一,3,2,陳美嬪,1
1112,D2955,品設科菁英班四甲,關懷商品設計（二）,(4215),必,2,4,星期一,3,3,王譔博,1
1112,D3017,資管四甲,管理數學 (學年),(6602),必,3,4,星期一,2,2,黃慧鳳,1
1112,D3008,資管四甲,網路程式設計,(2401),選,5,7,星期一,3,3,范敏玄,1
1112,D3077,日語四甲,日文閱讀指導 (學年),(3606),必,2,4,星期一,3,3,羅曉勤,1
1112,D3078,日語四甲,日文翻譯（一） (學年),(3606),必,5,6,星期一,2,2,葉東哲,1
1112,D3231,資應菁英班四甲,作業系統,(2604),選,2,4,星期一,3,3,李銘峰,1
1112,D3328,保金四甲,保險法,(5308),必,2,4,星期一,3,3,曾耀鋒,1
1112,D3342,保金四乙,保險法,(5309),必,5,7,星期一,3,3,曾耀鋒,1
1112,D3349,保金四乙,貨幣銀行學 (學年),(7701),必,3,4,星期一,2,2,卓翠月,1
1112,D2532,護理三甲,兒科護理學,(T503),必,5,7,星期一,3,3,劉千琪,1
1112,D2537,護理三甲,體育 (學年),(M101),必,1,2,星期一,2,0,邱裕翔,1
1112,D2554,護理三乙,體育 (學年),(M101),必,3,4,星期一,2,0,邱裕翔,1
1112,D2556,護理三乙,英語文 (學年),(T504),必,5,7,星期一,3,3,廖姿斐,1
1112,D2646,企管三甲,生產與作業管理 (學年),(5405),必,3,4,星期一,2,2,趙正敏,1
1112,D2649,企管三甲,微積分 (學年),(5405),必,5,6,星期一,2,2,簡郁紘,1
1112,D2562,護理五甲,內外科護理學總論 (另併１班),(T211),選,1,2,星期二,2,2,曾月霞林靜娟,1
1112,D2563,護理五甲,急診醫學概論 (另併１班),(T211),選,3,4,星期二,2,2,張耀田,1
1112,D2571,護理五甲,護理行政概論,(T211),必,5,6,星期二,2,2,吳佳錚饒瑞玉,1
1112,D2572,護理五甲,護理專業問題研討,(T211),必,7,8,星期二,2,2,陳筱瑀,1
1112,D2583,護理五乙,護理行政概論,(T303),必,7,8,星期二,2,2,吳佳錚饒瑞玉,1
1112,D2584,護理五乙,護理專業問題研討,(T303),必,5,6,星期二,2,2,陳筱瑀,1
1112,D2698,企管五甲,企業管理綜合個案研究 (學年),(7602),必,2,4,星期二,3,3,李家瑩,1
1112,D2707,企管五乙,企業管理綜合個案研究 (學年),(7802),必,5,7,星期二,3,3,張淑婷,1
1112,D2705,企管五乙,國際企業管理,(7418),必,2,4,星期二,3,3,張又心,1
1112,D2771,國貿五甲,國際匯兌,(3805),必,2,4,星期二,3,3,李桂枝,1
1112,D2886,會資五甲,會計審計法規 (另併１班),(5211),選,5,6,星期二,2,2,謝居倫,1
1112,D2905,會資五乙,審計學 (學年),(5207),必,3,4,星期二,4,4,呂學典,1
1112,D2959,品設科菁英班五甲,專利法規實務,(5101),選,3,4,星期二,2,2,黃榮鑠,1
1112,D2963,品設科菁英班五甲,運動與健康 (學年),(0000),選,5,6,星期二,2,2,體育老師,1
1112,D3021,資管五甲,專案管理,(2401),選,5,7,星期二,3,3,魏中倫,1
1112,D3091,日語五甲,日文商用文書寫作 (學年),(3608),必,3,4,星期二,2,2,南雄太,1
1112,D3092,日語五甲,日語發表演練 (學年),(3608),必,5,6,星期二,2,2,橘孝司,1
1112,D4791,日語五甲,日語發表演練 (學年),(3606),必,3,4,星期二,2,2,堂坂順子,1
1112,D3094,日語五甲,英語口語表達（二） (學年),(3412),必,1,2,星期二,2,2,江彼德,1
1112,D3187,英語五甲,經濟學 (學年),(3508),必,3,4,星期二,2,2,陳佑昌,1
1112,D3181,英語五甲,運動與健康 (學年),(0000),選,5,6,星期二,2,2,體育老師,1
1112,D3244,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,林文彥,1
1112,D8838,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,邱淑芬,1
1112,D8839,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,姜琇森,1
1112,D8840,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,柯志坤,1
1112,D8841,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,許雯絞,1
1112,D8842,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,黃天麒,1
1112,D8843,資應菁英班五甲,企業實習 (另併１班),(0000),選,1,1,星期一,9,9,蕭國倫,1
1112,D4890,保金五甲,理財規劃,(5310),必,2,4,星期二,3,3,卓翠月,1
1112,D3485,資工五甲,計算機組織,(2506),必,1,1,星期二,3,3,蔡家緯,1
1112,D5022,資工五甲,運動與健康 (學年),(0000),選,7,8,星期二,2,2,體育老師,1
1112,D4687,體育五甲,運動與健康 - 桌球,(0000),選,5,6,星期二,2,2,陳世恩,1
1112,D4688,體育五乙,運動與健康 - 瑜珈提斯,(0000),選,7,8,星期二,2,2,郭瑜婷,1
